date,next_date,next_close,symbol,close,kno,w,h,e,n,rd,pct,cr,bsval1,bsval2,bsval3,bsval4
06/02/2014,06/03/2014,35.88,BRCM,34.84,391,1,1,3,1,D,83,26,S,E,L,L
06/03/2014,06/04/2014,43.51,MWV,43.63,381,1,1,2,1,D,92,28,S,E,L,L
06/04/2014,06/05/2014,88.31,PRU,88.09,321,1,3,1,1,D,83,27,S,E,L,L
06/05/2014,06/06/2014,21.82,AMAT,21.78,391,2,2,1,1,D,83,26, ,E,L,L
06/05/2014,06/06/2014,30.51,CBG,30.72,381,1,2,2,1,D,83,27,S,E,L,L
06/05/2014,06/06/2014,75.03,WAG,75.60,381,1,2,2,1,D,83,27,S,E,L,L
06/06/2014,06/09/2014,46.99,CNX,47.45,391,1,2,1,1,D,92,27,S,E,L,L
06/06/2014,06/09/2014,47.01,PKI,47.52,381,1,3,1,1,D,83,27,S,E,L,L
06/09/2014,06/10/2014,52.02,HSP,51.00,311,1,1,1,1,D,100,30,S,E,L,L
06/10/2014,06/11/2014,52.05,HSP,52.02,313,1,1,1,1,D,100,30,S,E,L,L
06/11/2014,06/12/2014,50.98,HSP,52.05,313,1,1,1,1,D,100,30,S,E,L,L
06/11/2014,06/12/2014,39.15,MRO,38.48,391,1,3,1,1,D,83,26,S,E,L,L
06/11/2014,06/12/2014,71.47,TAP,72.07,311,1,1,2,1,D,92,29,S,E,L,L
06/12/2014,06/13/2014,71.23,TAP,71.47,313,2,1,2,1,D,83,28, ,E,L,L
06/16/2014,06/17/2014,29.95,INTC,30.01,311,1,1,3,1,D,83,28,S,E,L,L
06/16/2014,06/17/2014,41.72,NFX,41.60,313,1,2,2,1,D,83,28,S,E,L,L
06/17/2014,06/18/2014,91.01,COV,88.12,391,1,1,2,1,D,92,27,S,E,L,L
06/17/2014,06/18/2014,42.83,NFX,41.72,313,2,2,1,1,D,83,28, ,E,L,L
06/18/2014,06/19/2014,42.74,NFX,42.83,313,2,2,1,1,D,83,28, ,E,L,L
06/18/2014,06/19/2014,57.93,WMB,57.35,311,1,1,1,1,D,100,30,S,E,L,L
06/19/2014,06/20/2014,43.23,NFX,42.74,313,2,2,1,1,D,83,28, ,E,L,L
06/19/2014,06/20/2014,82.04,SNI,82.06,321,1,3,1,2,D,83,19,S,E,L,L
06/19/2014,06/20/2014,103.96,SRE,104.65,391,1,2,1,1,D,92,27,S,E,L,L
06/19/2014,06/20/2014,57.66,WMB,57.93,313,2,1,1,1,D,92,29, ,E,L,L
06/20/2014,06/23/2014,42.69,MO,43.12,311,1,3,1,1,D,83,28,S,E,L,L
06/20/2014,06/23/2014,73.70,TAP,74.86,311,1,1,3,1,D,83,28,S,E,L,L
06/23/2014,06/24/2014,69.27,TEG,68.35,391,1,1,1,1,D,100,28,S,E,L,L
06/24/2014,06/25/2014,69.33,TEG,69.27,381,1,1,1,1,D,100,29,S,E,L,L
06/25/2014,06/26/2014,30.78,INTC,30.88,311,1,1,3,1,D,83,28,S,E,L,L
06/26/2014,06/27/2014,32.58,WY,32.70,313,1,2,1,1,D,92,29,S,E,L,L
06/27/2014,06/30/2014,117.95,SLB,117.80,311,1,1,3,1,D,83,28,S,E,L,L
06/30/2014,07/01/2014,117.85,SLB,117.95,313,1,1,3,1,D,83,28,S,E,L,L
07/01/2014,07/02/2014,73.24,KLAC,73.07,391,1,1,1,1,D,100,28,S,E,L,L
07/01/2014,07/02/2014,117.73,SLB,117.85,313,2,1,2,1,D,83,28, ,E,L,L
07/02/2014,07/03/2014,90.19,CELG,90.07,331,1,1,3,1,D,83,28,S,E,L,L
07/14/2014,07/15/2014,47.54,ADM,48.07,381,1,2,2,1,D,83,27,S,E,L,L
07/16/2014,07/17/2014,16.33,AA,16.60,311,1,2,1,1,D,92,29,S,E,L,L
07/16/2014,07/17/2014,33.70,INTC,34.65,391,1,1,1,1,D,100,28,S,E,L,L
07/17/2014,07/18/2014,44.69,MSFT,44.53,313,1,2,2,1,D,83,28,S,E,L,L
07/17/2014,07/18/2014,87.23,TWX,86.12,381,1,1,3,1,D,83,27,S,E,L,L
07/18/2014,07/21/2014,44.84,MSFT,44.69,313,2,2,1,1,D,83,28, ,E,L,L
07/21/2014,07/22/2014,44.83,MSFT,44.84,313,2,2,1,1,D,83,28, ,E,L,L
07/23/2014,07/24/2014,73.41,HAL,74.02,311,1,3,1,1,D,83,28,S,E,L,L
07/24/2014,07/25/2014,39.43,BK,39.77,313,1,2,1,1,D,92,29,S,E,L,L
07/24/2014,07/25/2014,42.36,NDAQ,42.22,331,1,2,1,1,D,92,29,S,E,L,L
07/24/2014,07/25/2014,67.13,NTRS,67.11,391,1,3,1,1,D,83,26,S,E,L,L
07/25/2014,07/28/2014,39.48,BK,39.43,313,2,2,1,1,D,83,28, ,E,L,L
07/25/2014,07/28/2014,73.96,CAM,74.15,391,1,1,1,1,D,100,28,S,E,L,L
07/28/2014,07/29/2014,77.62,ABC,77.40,391,1,3,1,1,D,83,26,S,E,L,L
07/28/2014,07/29/2014,135.86,APD,136.32,381,2,2,1,1,D,83,27, ,E,L,L
07/29/2014,07/30/2014,6.65,FTR,6.79,391,1,1,3,1,D,83,26,S,E,L,L
07/29/2014,07/30/2014,11.33,WIN,11.83,381,1,1,3,1,D,83,27,S,E,L,L
07/30/2014,07/31/2014,55.47,HSP,56.21,311,1,2,1,1,D,92,29,S,E,L,L
08/15/2014,08/18/2014,88.44,MNST,93.49,391,1,1,3,1,D,83,26,S,E,L,L
08/18/2014,08/19/2014,30.75,LUV,30.82,311,1,3,1,1,D,83,28,S,E,L,L
08/19/2014,08/20/2014,31.57,LUV,30.75,313,1,3,1,1,D,83,28,S,E,L,L
08/20/2014,08/21/2014,31.24,LUV,31.57,313,1,2,1,1,D,92,29,S,E,L,L
08/22/2014,08/25/2014,59.61,KSS,59.43,391,2,1,1,1,D,92,27, ,E,L,L
08/25/2014,08/26/2014,91.63,HD,91.20,391,2,1,1,1,D,92,27, ,E,L,L
08/26/2014,08/27/2014,46.18,GPS,46.27,391,1,2,1,1,D,92,27,S,E,L,L
09/03/2014,09/04/2014,38.63,SYY,38.51,311,1,3,1,1,D,83,28,S,E,L,L
