date,symbol,close,kno,w,h,e,n,rd,pct,cr
9/3/08,PETM,28.38,303,1,1,1,1,D,100,26
9/3/08,POM,24.31,757,0,6,0,3,R,17,25
9/3/08,PRU,79.5,361,1,2,2,1,D,83,25
9/3/08,SJM,54.17,313,0,3,0,1,D,33,26
9/3/08,SLB,88.65,757,4,4,5,7,R,37,27
9/3/08,WDC,25.9,557,4,3,5,3,R,40,25
9/4/08,ADM,22.97,415,1,3,4,4,R,63,8
9/4/08,ADP,44.5,664,0,6,5,2,D,22,8
9/4/08,AKAM,19.64,415,1,2,4,4,R,72,7
9/4/08,ALXN,43.76,673,0,7,5,2,R,79,7
9/4/08,BDX,85.78,854,0,7,5,8,D,21,7
9/4/08,BEN,101.56,854,0,7,5,8,D,21,7
9/4/08,BTU,51.45,425,1,3,2,4,R,75,7
9/4/08,CMCSK,20.79,854,0,7,0,2,D,15,7
9/4/08,ETFC,3.21,854,0,9,0,0,D,12,8
9/4/08,GLW,16.6,487,1,1,1,4,R,100,4
9/4/08,HCBK,17.86,854,0,9,5,8,D,19,8
9/4/08,IPG,8.95,663,0,7,3,8,D,29,8
9/4/08,JOY,50.74,425,1,1,1,4,R,100,4
9/4/08,KIM,37.24,664,0,6,4,8,D,26,8
9/4/08,KMX,15.87,851,0,5,5,0,D,24,8
9/4/08,LH,73.06,664,0,5,5,8,D,24,8
9/4/08,SPG,94.21,854,0,7,0,8,D,15,8
9/4/08,WIN,12.43,854,0,7,0,8,D,15,8
9/4/08,WMB,28.15,487,1,3,2,4,R,75,7
9/4/08,AA,28.56,567,4,4,3,3,R,43,26
9/4/08,AEE,40.26,577,0,7,3,3,D,71,27
9/4/08,ALTR,20.4,567,4,6,2,7,R,47,25
9/4/08,AMAT,16.75,567,4,4,3,3,R,43,26
9/4/08,AMZN,78.03,562,0,9,0,7,R,88,25
9/4/08,BRCM,22.22,577,4,4,4,7,D,60,26
9/4/08,BSX,12.26,577,4,7,0,7,D,75,25
9/4/08,CMA,27.26,577,0,8,4,7,D,76,25
9/4/08,CNP,15.69,757,0,8,0,7,R,13,26
9/4/08,CSC,44.32,757,0,6,5,7,R,22,26
9/4/08,GD,85.29,565,4,6,3,7,R,38,25
9/4/08,HES,91.4,567,4,5,2,7,R,48,25
9/4/08,INTC,20.52,567,4,5,2,7,R,48,25
9/4/08,IRM,27.3,567,0,9,0,7,R,12,25
9/4/08,ITW,47.92,754,0,9,3,7,R,73,26
9/4/08,JCI,29.09,567,4,6,3,7,R,38,25
9/4/08,LLTC,30.4,567,4,5,3,7,R,40,25
9/4/08,LLY,46.09,567,0,6,5,3,R,22,25
9/4/08,MTB,72.6,573,0,8,0,7,D,13,25
9/4/08,NKE,59.74,773,0,9,0,7,D,12,27
9/4/08,OXY,73.59,567,0,5,5,7,R,24,25
9/4/08,PKI,26.96,757,4,5,2,9,R,48,25
9/4/08,POM,24.14,757,0,6,4,3,R,26,28
9/4/08,RAI,52.64,573,0,9,0,7,D,12,26
9/4/08,SJM,53.63,313,0,3,0,1,D,33,26
9/4/08,STT,66.61,567,0,9,0,7,R,12,25
9/4/08,TAP,47.15,565,4,3,5,3,R,40,26
9/4/08,TMK,59.16,573,0,8,0,7,D,13,25
9/4/08,TSS,19.03,567,4,4,5,3,R,37,26
9/4/08,UNP,75.73,757,0,8,2,9,R,38,25
9/4/08,WAT,64.2,757,0,7,5,7,R,21,26
9/4/08,WEC,45.32,757,0,9,5,7,R,19,25
9/5/08,AKAM,19.41,417,1,2,4,4,R,72,7
9/5/08,BTU,53.3,428,2,3,2,4,R,67,8
9/5/08,CMCSK,20.48,854,0,8,0,8,D,13,7
9/5/08,EIX,42.76,495,1,2,2,4,R,83,7
