date,symbol,close,kno,w,h,e,n,rd,pct,cr
1/7/08,BBBY,26.34,487,1,1,2,6,R,92,8
1/7/08,BBT,27.77,497,1,1,2,4,R,92,6
1/7/08,CB,53.91,854,0,7,0,2,D,15,7
1/7/08,CMCSA,17,487,1,2,3,4,R,75,7
1/7/08,CMCSK,16.87,487,1,2,3,4,R,75,7
1/7/08,COH,28.29,487,1,2,3,4,R,75,7
1/7/08,COV,43.9,873,0,8,4,8,R,76,7
1/7/08,CSC,43.76,487,1,1,2,4,R,92,5
1/7/08,DUK,20.31,853,0,6,0,2,D,17,8
1/7/08,ED,48.6,873,0,7,0,8,R,85,8
1/7/08,EXPE,29.13,678,4,5,2,8,R,48,7
1/7/08,F,6.16,487,1,2,3,4,R,75,7
1/7/08,FDO,17.3,418,2,2,3,4,R,67,7
1/7/08,FDX,83.49,487,1,1,1,4,R,100,4
1/7/08,GPC,43.7,237,1,1,2,4,R,92,7
1/7/08,HOG,41.23,415,1,2,3,4,R,75,6
1/7/08,IR,41.07,495,1,2,1,4,R,92,6
1/7/08,ITW,49.65,485,1,2,3,4,R,75,7
1/7/08,JNJ,66.86,854,0,9,3,2,D,27,6
1/7/08,KLAC,43.19,417,1,2,1,4,R,92,4
1/7/08,KSS,41.23,497,1,2,3,4,R,75,8
1/7/08,LB,16.09,495,1,2,2,4,R,83,7
1/7/08,LEG,16.26,485,1,2,3,4,R,75,7
1/7/08,LRCX,40.28,438,1,3,3,4,R,67,7
1/7/08,MAC,65.5,417,1,2,3,4,R,75,6
1/7/08,MS,48.31,858,4,5,3,6,D,60,7
1/7/08,MU,6.39,417,1,1,3,4,R,83,5
1/7/08,NWL,23.6,417,1,2,1,4,R,92,4
1/7/08,PETM,22.05,497,1,2,3,4,R,75,8
1/7/08,PVH,33.19,497,1,2,3,4,R,75,8
1/7/08,ROP,54.4,405,1,1,2,4,R,92,8
1/7/08,SBUX,18.38,417,2,1,3,4,R,75,6
1/7/08,SHW,55.51,487,1,2,3,4,R,75,7
1/7/08,SWK,44.84,417,1,2,3,4,R,75,6
1/7/08,TDC,26.87,853,0,9,0,8,D,12,6
1/7/08,TSO,42.27,415,1,3,2,4,R,75,6
1/7/08,TSS,25.06,495,1,2,3,4,R,75,8
1/7/08,TXN,30.49,678,4,5,2,4,R,48,5
1/7/08,UNH,56.88,873,0,5,5,2,R,76,5
1/7/08,VMC,71.01,487,1,3,1,4,R,83,6
1/7/08,WFC,27.68,417,1,2,2,4,R,83,5
1/7/08,WMB,35.41,654,0,9,0,2,D,12,8
1/7/08,XRX,15.1,485,1,3,2,4,R,75,7
1/7/08,ZMH,68.66,853,0,7,3,0,D,29,8
1/7/08,AA,33.11,555,4,5,2,3,R,48,25
1/7/08,ACN,33.97,567,4,5,5,3,R,33,25
1/7/08,ADM,45.86,313,0,1,3,1,D,60,26
1/7/08,BLL,43.05,757,4,4,5,3,R,37,28
1/7/08,CAT,68.73,567,4,6,3,3,R,38,26
