date,stock,close,kno,w,h,e,n,rd,pct
03/06/2013,LNC,31.30,311,1,3,2,1,D,75
03/06/2013,TMK,57.83,311,1,3,0,1,D,60
03/06/2013,TWX,55.46,311,1,3,4,1,D,63
03/06/2013,ZION,25.08,311,1,3,3,1,D,67
03/08/2013,AMP,72.09,311,1,3,3,1,D,67
03/08/2013,JCI,33.73,311,4,5,1,1,D,57
03/08/2013,JEC,51.82,311,4,3,1,1,D,63
03/08/2013,THC,43.20,311,4,3,3,1,D,47
03/11/2013,GPC,75.11,311,1,1,3,1,D,83
03/11/2013,HAS,42.28,311,1,2,5,1,D,68
03/11/2013,MU,9.35,311,1,2,1,1,D,92
03/11/2013,PFG,33.88,311,1,2,4,1,D,72
03/11/2013,SCHW,17.71,311,2,3,2,1,D,67
03/12/2013,JNJ,78.56,311,2,2,0,1,D,60
03/13/2013,ACE,88.60,311,1,3,0,1,D,60
03/13/2013,CFN,34.33,311,1,2,3,1,D,75
03/15/2013,GHC,444.70,311,2,1,3,1,D,75
03/15/2013,PBCT,13.55,311,4,2,3,1,D,55
03/15/2013,SEE,24.27,311,1,1,2,1,D,92
03/18/2013,JEC,54.05,311,2,2,3,1,D,67
03/20/2013,BBY,23.07,311,2,1,3,1,D,75
03/22/2013,GIS,48.15,311,1,1,2,1,D,92
03/25/2013,KR,32.64,311,1,1,5,1,D,77
03/25/2013,SWY,25.93,311,1,1,0,1,D,80
03/26/2013,CPB,44.30,311,1,1,2,1,D,92
03/26/2013,HCN,66.93,311,1,3,4,1,D,63
03/27/2013,UNM,28.07,311,4,1,3,1,D,63
03/27/2013,VTR,72.11,311,4,3,3,1,D,47
03/28/2013,BIIB,192.62,311,1,1,2,1,D,92
03/28/2013,BMS,40.36,311,1,2,2,1,D,83
03/28/2013,GIS,49.31,311,1,1,0,1,D,80
03/28/2013,HRL,41.32,311,1,1,4,1,D,80
03/28/2013,JNJ,81.53,311,2,2,1,1,D,83
03/28/2013,PNW,57.89,311,4,3,3,1,D,47
03/28/2013,SCG,51.16,311,1,2,3,1,D,75
04/01/2013,DTE,68.39,311,1,3,1,1,D,83
04/01/2013,FIS,39.70,311,1,4,2,1,D,72
04/02/2013,ABC,52.41,311,1,1,4,1,D,80
04/02/2013,D,58.62,311,2,2,5,1,D,60
04/02/2013,HCP,50.47,311,1,3,3,1,D,67
04/04/2013,ABT,36.65,311,1,3,3,1,D,67
04/04/2013,NEE,79.23,311,1,1,0,1,D,80
04/04/2013,SCG,51.82,311,3,2,3,1,D,58
04/08/2013,NI,30.18,311,1,2,0,1,D,70
04/08/2013,VTR,75.55,311,1,1,5,1,D,77
04/09/2013,HCP,51.70,311,1,2,5,1,D,68
04/09/2013,WAG,48.31,311,4,2,0,1,D,46
04/10/2013,ABC,53.30,311,2,1,4,1,D,72
04/11/2013,ACE,91.91,311,1,3,5,1,D,60
04/11/2013,ECL,82.97,311,4,2,2,1,D,63
04/11/2013,GGP,21.13,311,1,3,2,1,D,75
