TYPE,DATE,STOCK,PRICE,AMT,# OF SHARES,$ SPENT/MADE,CASH AFTER
ADD,6/4/98,TMO,33.0,0.5,1781.8143360847196,58799.87309079574,x
SUB,4/26/07,TMO,53.6,2.0,2798.507462686567,150000.0,x
SUB,9/17/96,TROW,34.75,2.0,5755.395683453237,200000.0,x
ADD,7/23/02,TROW,23.44,0.5,2877.6978417266187,67453.23741007195,x
SUB,9/29/95,TRV,58.38,2.0,3425.8307639602604,200000.0,x
ADD,8/28/98,TRV,32.0,0.5,856.4576909900651,27406.646111682083,x
ADD,8/31/98,TRV,30.75,1.0,1712.91538198013,52672.147995889,x
ADD,9/1/98,TRV,30.25,1.0,856.4576909900652,25907.845152449474,x
SUB,1/12/04,TRV,41.48,0.5,1205.400192864031,50000.0,x
SUB,1/13/04,TRV,41.76,1.0,1197.3180076628353,50000.0,x
SUB,10/18/12,TRV,73.94,2.0,1352.447930754666,100000.0,x
SUB,12/31/96,TSN,34.25,0.5,1459.85401459854,50000.0,x
SUB,2/11/10,TSN,15.96,1.0,3132.832080200501,50000.0,x
SUB,8/13/96,TSO,13.13,0.5,3808.0731150038077,50000.0,x
SUB,8/14/96,TSO,13.5,1.0,3703.703703703704,50000.0,x
ADD,1/9/08,TSO,40.39,0.5,3755.888409353756,151700.3328537982,x
ADD,1/10/08,TSO,40.19,0.5,3755.888409353756,150949.15517192744,x
SUB,12/21/95,TSS,29.88,1.0,3346.720214190094,100000.0,x
SUB,12/22/95,TSS,30.25,2.0,3305.785123966942,100000.0,x
SUB,9/11/14,TWC,154.24,0.5,324.1701244813278,50000.0,x
SUB,3/2/95,TWX,90.5,2.0,2209.9447513812156,200000.0,x
ADD,2/4/02,TWX,24.24,1.0,1104.9723756906078,26784.53038674033,x
ADD,2/5/02,TWX,23.6,1.0,1104.9723756906078,26077.348066298346,x
SUB,2/18/11,TWX,38.18,0.5,1309.5861707700367,50000.0,x
SUB,8/6/12,TWX,41.61,2.0,3604.902667627974,150000.0,x
SUB,3/28/95,TXN,97.63,0.5,512.1376626037079,50000.0,x
SUB,6/19/95,TXN,138.88,2.0,1080.069124423963,150000.0,x
ADD,2/23/01,TXN,30.15,1.0,12737.654296221368,384040.2770310742,x
ADD,2/26/01,TXN,29.15,0.5,6368.827148110684,185651.31136742642,x
SUB,10/28/03,TXN,29.35,1.0,1703.5775127768313,50000.0,x
ADD,11/20/08,TXN,14.02,0.5,4036.2023304437575,56587.556672821476,x
SUB,1/25/13,TXT,28.75,0.5,1739.1304347826087,50000.0,x
SUB,12/20/13,TXT,37.29,1.0,1340.8420488066506,50000.0,x
SUB,10/18/96,TYC,49.75,1.0,2010.0502512562814,100000.0,x
SUB,11/14/96,TYC,53.38,2.0,1873.3608092918696,100000.0,x
SUB,2/23/15,UNH,116.4,0.5,429.553264604811,50000.0,x
SUB,3/6/13,UNM,26.06,0.5,1918.6492709132772,50000.0,x
SUB,9/7/95,UNP,69.13,0.5,723.2749891508752,50000.0,x
